Nome,Zona,Indirizzo,Telefono,Fatturato,Sito web,Google Maps,Stato contatto,N° tentativi,Parlato con,Esito chiamata,Data follow-up,Data demo fissata,Qualificazione ,"Note (obiezioni, dettagli, info)"
TRASLOCHI M.T.,Pieve A Nievole,"Via Calamandrei, 17",=+39 335 803 0761,,https://www.traslochi-mt.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20M.T.&query_place_id=ChIJG47WKuljKhMRAV2ZCQrb38E,Da chiamare,,,,,,,
TRASLOCHI LEONARDO S.R.L.S,Santa Croce sull'Arno,"Via Cristiano Banti, 2",=+39 0571 507764,,https://www.traslochileonardo.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Leonardo%20s.r.l.s&query_place_id=ChIJUxHnjrFvKhMRauhHlnVXyKg,Da chiamare,,,,,,,
"PICCOLI TRASLOCHI, SGOMBERI SIENA",Colle di Val d'Elsa,Via di Spugna,=+39 331 884 9236,,,https://www.google.com/maps/search/?api=1&query=piccoli%20traslochi%2C%20sgomberi%20siena&query_place_id=ChIJPbgF7Qk7KhMReFalomz_yXM,Da chiamare,,,,,,,
TRASLOCHI TRITI - MONTECATINI TERME,Montecatini Terme,"Via Andrea Bacci, 11",=+39 348 338 3382,,https://www.traslochitriti.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti%20-%20Montecatini%20Terme&query_place_id=ChIJ_UnCMUl9KhMRcZduZH1lrxw,Da chiamare,,,,,,,
FAZZINI TRASLOCHI - MONTECATINI TERME,Montecatini Terme,"Via Nazario Sauro, 22",=+39 0572 904472,,https://www.fazzinitraslochi.it/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/search/?api=1&query=Fazzini%20Traslochi%20-%20Montecatini%20Terme&query_place_id=ChIJQ_CXd2h9KhMRrVzESjHjMNo,Da chiamare,,,,,,,
TRASLOCHI MANCINI DI MANCINI MICHELE,Castelfranco di Sotto,"Via delle Fontine, 35",=+39 342 173 1309,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Mancini%20Di%20Mancini%20Michele&query_place_id=ChIJB0dPC7l5KhMRl6dr-33rddg,Da chiamare,,,,,,,
TRASLOCHI LEONARDO S.R.L.S,Castelfranco di Sotto,"Via Provinciale Francesca Nord, 195",,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Leonardo%20S.r.l.s&query_place_id=ChIJ2yXp4FJwKhMRv7XfhEC9O4I,Da chiamare,,,,,,,
TRASLOCHI DI PIETRO,Monteriggioni,"Via Giovanni XXIII, 12",=+39 333 178 0117,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20di%20Pietro&query_place_id=ChIJOwED0HgtKhMR5Uy2xNH23Iw,Da chiamare,,,,,,,
TRASLOCHI FOCOSI,Borgo A Buggiano,"Via Francesco Petrarca, 24",=+39 334 155 2278,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Focosi&query_place_id=ChIJG0nfZ8B9KhMRYMWK1sMTju8,Da chiamare,,,,,,,
SGOMBERI TRASLOCHI DISPONIBILE CAMION CON SPONDA,Altopascio,Località Chimenti 35,=+39 366 497 6271,,,https://www.google.com/maps/search/?api=1&query=Sgomberi%20traslochi%20disponibile%20camion%20con%20sponda&query_place_id=ChIJ267DKGV5KhMRnl_bi5LiELQ,Da chiamare,,,,,,,
TRASLOCHI TRITI - PESCIA PISTOIA,Pescia,"Via Rocconi, 15",=+39 348 338 3382,,https://www.traslochitriti.it/traslochi-pescia/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti%20-%20Pescia%20Pistoia&query_place_id=ChIJrQRbY-h_KhMRJNp-h_yHOQg,Da chiamare,,,,,,,
TERZINO TRASLOCHI-AUTOTRASPORTI-SGOMBERI SIENA,Siena,"Via del Sole, 29",=+39 370 324 6810,,https://www.terzinotraslochi.com/,https://www.google.com/maps/search/?api=1&query=TERZINO%20TRASLOCHI-AUTOTRASPORTI-SGOMBERI%20SIENA&query_place_id=ChIJ15Cht1A_RmgRy4YPIu3Hqiw,Da chiamare,,,,,,,
FORMICHINI TRASLOCHI . TRASPORTI E SGOMBERI SIENA POGGIBONSI SINALUNGA AREZZO FIRENZE,Siena,Via Camollia,=+39 327 806 6001,,https://www.formichinitrasporti.it/,https://www.google.com/maps/search/?api=1&query=FORMICHINI%20TRASLOCHI%20.%20TRASPORTI%20E%20SGOMBERI%20siena%20Poggibonsi%20Sinalunga%20Arezzo%20Firenze&query_place_id=ChIJj__-nXw9H6wRWxHWKAeou0E,Da chiamare,,,,,,,
FONTANA TRASLOCHI,Ponte Singerna,"Via Ponte Singerna, 165",=+39 348 730 0302,,http://www.fontanatraslochi.com/,https://www.google.com/maps/search/?api=1&query=Fontana%20Traslochi&query_place_id=ChIJwbXCbmaGKxMRrq1drbgxOL0,Da chiamare,,,,,,,
FRASSI TRASLOCHI,Pontedera,"Via Girolamo Savonarola, 26",=+39 327 131 7952,,https://www.frassitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Frassi%20Traslochi&query_place_id=ChIJ8RDKGaJ1KhMR68PI7lEUopE,Da chiamare,,,,,,,
TRASLOCHI E TRASPORTI YOUSSEF HAMMOU,Pontedera,"Via del Fosso Vecchio, 61",=+39 347 796 7638,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20Trasporti%20Youssef%20Hammou&query_place_id=ChIJ1cFESyZ1KhMRtHT-6lmnn7Y,Da chiamare,,,,,,,
GLOBAL SERVICE TRASLOCHI A PISA,Pontedera,"Via Roma, 60",=+39 393 066 5600,,,https://www.google.com/maps/search/?api=1&query=Global%20Service%20Traslochi%20a%20Pisa&query_place_id=ChIJsdQvkO51KhMRq0kHcEwA0yo,Da chiamare,,,,,,,
TOTAL MOVE TRASLOCHI E SERVIZI,Pontedera,"Corso G. Matteotti, 146",=+39 342 803 2012,,https://totalmove.it/,https://www.google.com/maps/search/?api=1&query=Total%20Move%20Traslochi%20e%20Servizi&query_place_id=ChIJF-C5OtSR1RIR1568c6dB1jg,Da chiamare,,,,,,,
SDL TRASLOCHI E MONTAGGIO,Bientina,"Via S. Giovanni Bosco, 1",=+39 380 260 7283,,,https://www.google.com/maps/search/?api=1&query=SDL%20traslochi%20e%20montaggio&query_place_id=ChIJxcZyZ-d3KhMR6nH24QcKdeo,Da chiamare,,,,,,,
PISA TRASLOCHI - C.H SERVICE,Calcinaia,"via Yuri Gagarin, 3",=+39 320 862 5204,,https://www.pisatraslochi.it/,https://www.google.com/maps/search/?api=1&query=Pisa%20Traslochi%20-%20C.H%20Service&query_place_id=ChIJYbnIEQCL1RIRBsMlQXtFS_I,Da chiamare,,,,,,,
TRASLOCHI FIUME,Calcinaia,"Via di Mezzo, 43",=+39 0587 356749,,,https://www.google.com/maps/search/?api=1&query=traslochi%20fiume&query_place_id=ChIJl5cA4Kt3KhMRDUCvLW1jGPM,Da chiamare,,,,,,,
TREMOLANTI LO STORE ARREDAMENTO E TRASLOCHI,Calcinaia,"V. del Tiglio, 227/a",=+39 328 650 7070,,https://www.facebook.com/Tremolanti,https://www.google.com/maps/search/?api=1&query=Tremolanti%20Lo%20Store%20Arredamento%20e%20Traslochi&query_place_id=ChIJR3NMPtiJ1RIRBIjdRhF3PGU,Da chiamare,,,,,,,
MOBILSERVICETRASLOCHI SRL PISA,Ponsacco,"Via Torino, 22",=+39 800 882 482,,http://mobilservicetraslochi.it/,https://www.google.com/maps/search/?api=1&query=Mobilservicetraslochi%20srl%20Pisa&query_place_id=ChIJ40LUHiN1KhMRzFy95GLxC3g,Da chiamare,,,,,,,
AUTOTRASPORTI TRASLOCHI C. P. 2000 DI CIAPPI LUCIANO,Ponsacco,"Via Salvatore Quasimodo, 12",=+39 0587 730136,,,https://www.google.com/maps/search/?api=1&query=Autotrasporti%20Traslochi%20C.%20P.%202000%20Di%20Ciappi%20Luciano&query_place_id=ChIJ7cT8Dlp1KhMRvS6sYwfIG7Q,Da chiamare,,,,,,,
TRASLOCHI IURI PISA,Ponsacco,"Via Giovanni da Verazzano, 22",=+39 366 120 0226,,http://www.traslochiiuripisa.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Iuri%20Pisa&query_place_id=ChIJj0xwjgyL1RIRDzEz0WCLc4E,Da chiamare,,,,,,,
TRASLOCHI 90 FIRENZE,San Mauro,a,=+39 348 462 0694,,,https://www.google.com/maps/search/?api=1&query=Traslochi%2090%20Firenze&query_place_id=ChIJwT9IKI9ZKhMRDJtKHy5x3BU,Da chiamare,,,,,,,
TRASLOCHI STAGNO,Vicopisano,"Via Milano, 5",=+39 347 579 2250,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Stagno&query_place_id=ChIJSRSYeQ2J1RIRUf69TEDzxtw,Da chiamare,,,,,,,
BS TRASLOCHI STAGNO,Vicopisano,"Via Milano, 7",,,,https://www.google.com/maps/search/?api=1&query=Bs%20Traslochi%20Stagno&query_place_id=ChIJGyudQMGJ1RIRMGAFRNzDfic,Da chiamare,,,,,,,
TRASLOCHI TRITI,Capannori,"Via Gheghi, 23",=+39 0583 927945,,https://www.traslochitriti.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti&query_place_id=ChIJQwPtZleA1RIRSxmpdlD0PzU,Da chiamare,,,,,,,
"TUTTOTRASLOCHI - TRASLOCHI LUCCA, PISA, LIVORNO, PRATO E FIRENZE",Capannori,"Via di Vorno, 9E",=+39 0583 180 8184,,https://www.tuttotraslochi.it/,https://www.google.com/maps/search/?api=1&query=TuttoTraslochi%20-%20Traslochi%20Lucca%2C%20Pisa%2C%20Livorno%2C%20Prato%20e%20Firenze&query_place_id=ChIJdZrZpUeD1RIRjyuswG1B4CE,Da chiamare,,,,,,,
FAZZINI TRASLOCHI,Capannori,"Via dei Boschi, 95",=+39 0583 462213,,https://www.fazzinitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Fazzini%20Traslochi&query_place_id=ChIJY5A6uQWE1RIR-N9IfdUMBQY,Da chiamare,,,,,,,
AURELIA TRASLOCHI SNC DI MARANGONI M. E MOSCA E.,Capannori,"56 Via Del Marginone, Pieve San Paolo, LU 55012",,,,https://www.google.com/maps/search/?api=1&query=Aurelia%20Traslochi%20Snc%20Di%20Marangoni%20M.%20E%20Mosca%20E.&query_place_id=ChIJD46RGk2B1RIRgRMsPFlJarI,Da chiamare,,,,,,,
CHADID TRASLOCHI & SGOMBERI & TRASPORTI PISA,Cascina,"Via Sirio Moggi, 183",=+39 324 685 4640,,,https://www.google.com/maps/search/?api=1&query=CHADID%20Traslochi%20%26%20Sgomberi%20%26%20Trasporti%20Pisa&query_place_id=ChIJnQGWuU6L1RIRO0YYTh4CRT0,Da chiamare,,,,,,,
ECOTRASLOCHI,Cascina,"Via Antonio Pieroni, 36",=+39 328 893 6560,,,https://www.google.com/maps/search/?api=1&query=Ecotraslochi&query_place_id=ChIJtwvCzOSN1RIRgqrSVeU-7ik,Da chiamare,,,,,,,
TRASLOCHI C & D TRASLOCHI C. & D.,Cascina,"Via L. Tenco, 73",=+39 347 351 9440,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20C%20%26%20D%20Traslochi%20C.%20%26%20D.&query_place_id=ChIJOYgyx4GO1RIRgAvPPljzT9o,Da chiamare,,,,,,,
FRASSI TRASLOCHI,Cascina,,,,,https://www.google.com/maps/search/?api=1&query=FRASSI%20TRASLOCHI&query_place_id=ChIJMUzn5-aL1RIR9sKxwF8a6bs,Da chiamare,,,,,,,
FRASSI TRASLOCHI LOCALI & INTERNAZIONALI,Cascina,"Via Tosco Romagnola, 1514",=+39 327 131 7952,,http://www.frassitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Frassi%20Traslochi%20Locali%20%26%20Internazionali&query_place_id=ChIJfe7mo5FiNSMRsfTmzqyd65o,Da chiamare,,,,,,,
TRASLOCHI ECONOMICI,Casciana Terme Lari,"Via Belfiore, 19",=+39 379 228 2046,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Economici&query_place_id=ChIJ37THxAH11RIR6p57FQfGM4E,Da chiamare,,,,,,,
FABRIZIO MENCUCCINI TRASLOCHI,Arezzo,"Via Filippo Lippi, 11",=+39 0575 28475,,,https://www.google.com/maps/search/?api=1&query=Fabrizio%20Mencuccini%20Traslochi&query_place_id=ChIJ60pZR0TtKxMRQLhpX449HC8,Da chiamare,,,,,,,
VIRTUOSI TRASLOCHI ANTONIO VIRTUOSI,Arezzo,"Via Fiorentina, 181",=+39 0575 380777,,,https://www.google.com/maps/search/?api=1&query=Virtuosi%20Traslochi%20Antonio%20Virtuosi&query_place_id=ChIJmVR2AzHtKxMRW-q7OB0464Q,Da chiamare,,,,,,,
GRECO TRASLOCHI,Arezzo,"Via Fiorentina, 41/b",=+39 338 404 0405,,,https://www.google.com/maps/search/?api=1&query=Greco%20Traslochi&query_place_id=ChIJYyz30TftKxMRbY7XQugSc_4,Da chiamare,,,,,,,
TRASLOCHI MORENO RUBECHINI & C. SNC,Arezzo,Via Campanacci,=+39 337 687 646,,https://www.traslochiarezzo.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Moreno%20Rubechini%20%26%20C.%20Snc&query_place_id=ChIJnc05diXtKxMRITvcSwwW10A,Da chiamare,,,,,,,
CHIASSERINI E PERUZZI TRASLOCHI,Arezzo,"Località Monastero, 3",=+39 340 397 8894,,https://www.traslochichiasserinieperuzzi.com/,https://www.google.com/maps/search/?api=1&query=Chiasserini%20e%20Peruzzi%20Traslochi&query_place_id=ChIJSUvsGoTtKxMR-a55aRixdNM,Da chiamare,,,,,,,
TRASLOCHI BRUNI ANDREA TRASPORTI E SMALTIMENTO RIFIUTI RECUPERO FERRO,Arezzo,"Via Lazio, 26",=+39 339 852 7290,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Bruni%20Andrea%20trasporti%20e%20smaltimento%20rifiuti%20Recupero%20ferro&query_place_id=ChIJgWRe3C7tKxMRbix4n1WMWBY,Da chiamare,,,,,,,
TRASLOCHI CAPACCI DI ANDREA CAPACCI,Arezzo,"Località Santa Firmina, 52",=+39 335 535 7461,,http://www.traslochicapacciarezzo.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Capacci%20Di%20Andrea%20Capacci&query_place_id=ChIJXX_2MZ3tKxMRgDVs9DbdvAA,Da chiamare,,,,,,,
TRASLOCHI TRITI - SEDE LUCCA - SAN MARCO,Lucca,"Via Vecchia Pesciatina, 204",=+39 348 338 3382,,https://www.traslochitriti.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti%20-%20Sede%20Lucca%20-%20San%20Marco&query_place_id=ChIJy_A-iZCD1RIRyAL8tGqiAT8,Da chiamare,,,,,,,
TRASLOCHI TRITI - SEDE LUCCA - SAN VITO,Lucca,"Via T.G. Marchetti, 300",=+39 0583 927945,,https://www.traslochitriti.it/traslochi-lucca/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti%20-%20sede%20Lucca%20-%20San%20Vito&query_place_id=ChIJiW9BSeOD1RIRR7pcV0xVPSY,Da chiamare,,,,,,,
RICCARDO TRASLOCHI,Lucca,"Via Nazionale, 375",,,,https://www.google.com/maps/search/?api=1&query=Riccardo%20traslochi&query_place_id=ChIJO8twHACB1RIRYQerXK7-zJ4,Da chiamare,,,,,,,
TRASLOCHI TRITI - SEDE CAPANNORI,Lucca,"Via Don Emilio Angeli, 176 - Segromigno P.no",=+39 0583 927945,,https://www.traslochitriti.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Triti%20-%20Sede%20Capannori&query_place_id=ChIJDcPJF16A1RIRl_i93qxxfgs,Da chiamare,,,,,,,
MULTISERVICES TRASLOCHI MANNUCCI,Rapolano Terme,"Via dei Tribbi, 20",=+39 349 604 7865,,https://traslochimannucci.com/,https://www.google.com/maps/search/?api=1&query=Multiservices%20Traslochi%20Mannucci&query_place_id=ChIJwyKiRvvbKxMRd0CaCIn6D4I,Da chiamare,,,,,,,
AURELIA TRASLOCHI SNC DI FERRARI A. MARANGONI M. E MOSCA E.,Guamo,"Via di S. Pieretto, 24",=+39 0583 947912,,,https://www.google.com/maps/search/?api=1&query=Aurelia%20Traslochi%20Snc%20Di%20Ferrari%20A.%20Marangoni%20M.%20E%20Mosca%20E.&query_place_id=ChIJl0TyfUiE1RIROZmy5NvK-WU,Da chiamare,,,,,,,
TRASLOCHI SARTINI,Cerchiaia,"Str. di Cerchiaia, 25",=+39 335 101 9814,,http://www.traslochinuovasartini.com/,https://www.google.com/maps/search/?api=1&query=TRASLOCHI%20SARTINI&query_place_id=ChIJPYOZ000rKhMRm1Oh7rrkTRw,Da chiamare,,,,,,,
TRASLOCHI FRATELLI SOLDATI,Cerchiaia,"Str. di Cerchiaia, 55",=+39 0577 47193,,https://www.traslochisoldati.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Fratelli%20SOLDATI&query_place_id=ChIJGXdW_EsrKhMRgpvPw9jTPgY,Da chiamare,,,,,,,
BS TRASLOCHI SAN GIULIANO TERME,San Giuliano Terme,"Via Pietro L'Aretino, 26",=+39 335 125 2464,,http://www.bstraslochi.it/,https://www.google.com/maps/search/?api=1&query=Bs%20Traslochi%20San%20Giuliano%20Terme&query_place_id=ChIJWXQ4sIqR1RIRBtnohanyIuk,Da chiamare,,,,,,,
TRASLOCHI GRONCHI,Collesalvetti,"Via della Marginata, 39",=+39 333 346 9985,,https://www.gronchiriccardotraslochi.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Gronchi&query_place_id=ChIJ66dvR82M1RIRDlJvc-effow,Da chiamare,,,,,,,
TRASLOCHI ROSIGNANO 3 FRATELLI,Castelnuovo della Misericordia,"Via di Castelvecchio, 36",=+39 389 348 9677,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Rosignano%203%20Fratelli&query_place_id=ChIJVzJOVzL71RIR3nu8MsNRxHQ,Da chiamare,,,,,,,
BIEMMEBI SNC DI BERTOLANI S. MANCINI A. - TRASLOCHI TRASPORTI PISA,Vecchiano,Via del Beccaccino,=+39 050 869007,,,https://www.google.com/maps/search/?api=1&query=Biemmebi%20Snc%20Di%20Bertolani%20S.%20Mancini%20A.%20-%20Traslochi%20Trasporti%20Pisa&query_place_id=ChIJHXpoWSCa1RIResLuKT1oxVk,Da chiamare,,,,,,,
CONFORTI TRASLOCHI,Pisa,"Via Giovanni Pancaldi, 2",=+39 335 143 6790,,http://www.conforti-traslochi.it/,https://www.google.com/maps/search/?api=1&query=Conforti%20Traslochi&query_place_id=ChIJW2Xrfm6R1RIRrhsH5CLBUYo,Da chiamare,,,,,,,
GLOBAL SERVICE TRASLOCHI,Pisa,"Via II Settembre, 2",=+39 393 066 5600,,https://www.globalservicetraslochi.it/,https://www.google.com/maps/search/?api=1&query=Global%20Service%20Traslochi&query_place_id=ChIJifcGii-R1RIR_eKuMuqJ9ks,Da chiamare,,,,,,,
TRASLOCHI PISA,Pisa,Cavalcavia Sant'Ermete Nord,=+39 351 511 7139,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20pisa&query_place_id=ChIJ6dTRKNiR1RIRT54M4SsPSmc,Da chiamare,,,,,,,
L.M. SERVICE S.R.L.S.,Pisa,"Primo Viale, 21",320 715 9773,,,,Da chiamare,,,,,,,
CM TRASLOCHI,Pisa,"Via Toscana, 65",0587 54134,,https://cmtraslochi.it/it/,,Da chiamare,,,,,,,
TRASLOCHI PISA,Pisa,"Via Carlo Cattaneo, 71",=+39 050 28115,,https://www.frassitraslochi.it/,https://www.google.com/maps/search/?api=1&query=traslochi%20pisa&query_place_id=ChIJ3at8aZCR1RIRM2jMwvt5xTA,Da chiamare,,,,,,,
LA FORTEZZA TRASLOCHI,Pisa,"Via Raffaello Sanzio, 2",=+39 050 532849,,http://www.lafortezzatraslochi.com/,https://www.google.com/maps/search/?api=1&query=La%20Fortezza%20Traslochi&query_place_id=ChIJK8Nc6kKR1RIRH8SIDalw4UY,Da chiamare,,,,,,,
TRASLOCHI PISA FRASSI,Pisa,"Via Piero Gobetti, 5",=+39 347 871 1817,,https://www.frassitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Pisa%20Frassi&query_place_id=ChIJoUP4WRqR1RIRkVMVw-OuVUY,Da chiamare,,,,,,,
PALUMBO TARAS TRASLOCHI IN TUTTA ITALIA,Pisa,"Via di Gello, 63/B",=+39 351 701 6105,,https://www.tarastraslochi.it/,https://www.google.com/maps/search/?api=1&query=Palumbo%20Taras%20Traslochi%20in%20Tutta%20Italia&query_place_id=ChIJ7zZTUTmR1RIR3HOgon3r6-A,Da chiamare,,,,,,,
CONFORTI TRASLOCHI,Pisa,"Via Biagio Brugi, 2",,,http://www.conforti-traslochi.it/,https://www.google.com/maps/search/?api=1&query=Conforti%20Traslochi&query_place_id=ChIJjXl-K2mT1RIRgHnKhXs1_P8,Da chiamare,,,,,,,
SHEDDADY TRASLOCHI,Pisa,"Via Fiorentina, 457",=+39 380 269 6211,,,https://www.google.com/maps/search/?api=1&query=Sheddady%20traslochi&query_place_id=ChIJ90y_Y6eP1RIRv3_R1Z2y9vw,Da chiamare,,,,,,,
"SOCIETÀ COOPERATIVA AURORA - FACCHINAGGIO, TRASLOCHI, LOGISTICA, PULIZIE CIVILI E INDUSTRIALI",Fornaci di Barga,"Via Alcide De Gasperi, 3",=+39 0583 75658,,http://www.cooperativaaurora.com/,https://www.google.com/maps/search/?api=1&query=Societ%C3%A0%20Cooperativa%20Aurora%20-%20Facchinaggio%2C%20Traslochi%2C%20Logistica%2C%20Pulizie%20civili%20e%20industriali&query_place_id=ChIJezgaWd161RIRxMRSEpx1VOw,Da chiamare,,,,,,,
TRASLOCHI TOLOMEI,Massarosa,"Via Poggio alle Viti, 619",=+39 340 786 4330,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Tolomei&query_place_id=ChIJsxefTWif1RIRRaZo--9HKBg,Da chiamare,,,,,,,
TRASLOCHI SUPERPICCHIO SUPERPICCHIO SRL,Sansepolcro,"Viale Osimo, 363",=+39 338 788 5625,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Superpicchio%20Superpicchio%20Srl&query_place_id=ChIJkytPNhB3LBMRNtob2XAwUkk,Da chiamare,,,,,,,
TOSCANA TRASLOCHI,Sansepolcro,"SS73, 20",=+39 338 788 5625,,,https://www.google.com/maps/search/?api=1&query=Toscana%20Traslochi&query_place_id=ChIJBSZl3Mh3LBMRShvAnY7KYos,Da chiamare,,,,,,,
ALBERTO TRASLOCHI & NOLEGGI,Cecina,"Via Maria Curie, 7",=+39 393 996 4745,,http://albertotraslochi.it/,https://www.google.com/maps/search/?api=1&query=Alberto%20Traslochi%20%26%20Noleggi&query_place_id=ChIJAacnQdv91RIR29YTcfyRSoI,Da chiamare,,,,,,,
TRASLOCHI CHELI FEDERICO,Cecina,"Via Galileo Galilei, 8",=+39 339 392 7701,,http://www.traslochicheli.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Cheli%20Federico&query_place_id=ChIJvzoXjPz91RIRJWy0_q0J-kI,Da chiamare,,,,,,,
NUOVI TRASLOCHI CECINA,Cecina,"Via Giuseppe Garibaldi, 1",=+39 329 454 0460,,https://www.3fratellitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Nuovi%20Traslochi%20Cecina&query_place_id=ChIJ9aZefeL91RIR_2ToiPg9UFY,Da chiamare,,,,,,,
TRASLOCHI 3 FRATELLI ROSIGNANO,Vada,"Via Vecchia Aurelia, 62",=+39 328 734 7226,,https://www.3fratellitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%203%20Fratelli%20Rosignano&query_place_id=ChIJScambwv91RIR6nEV-OtOdqA,Da chiamare,,,,,,,
TRASLOCHI BIBBONA,Vada,"Via Vecchia Aurelia, 62",,,,https://www.google.com/maps/search/?api=1&query=traslochi%20Bibbona&query_place_id=ChIJNXBd6ID91RIR-NY8hu6Vb8o,Da chiamare,,,,,,,
LA FORTEZZA TRASLOCHI,Livorno,"Via Roma, 31",=+39 0586 814647,,http://www.lafortezzatraslochi.com/,https://www.google.com/maps/search/?api=1&query=La%20Fortezza%20Traslochi&query_place_id=ChIJC4sO-HDp1RIRelPCpF8Xc7I,Da chiamare,,,,,,,
ANTHOS TRASLOCHI,Livorno,"bg. Cappuccini, 326",=+39 333 986 1219,,,https://www.google.com/maps/search/?api=1&query=Anthos%20Traslochi&query_place_id=ChIJT08euXbp1RIRe5Uvgu9mf7U,Da chiamare,,,,,,,
FRANDANI MONTAGGIO MOBILI E TRASLOCHI,Livorno,"Via S. Carlo, 50",=+39 328 688 4131,,http://frandani.it/,https://www.google.com/maps/search/?api=1&query=Frandani%20Montaggio%20mobili%20e%20traslochi&query_place_id=ChIJfcOrOXjp1RIRg-ky0fAPjG8,Da chiamare,,,,,,,
TRASLOCHI P.D. TRASPORTI E MONTAGGI DI PIEROTTI DANIELE,Livorno,"Via Giordano Bruno, 2",=+39 338 114 7597,,,https://www.google.com/maps/search/?api=1&query=TRASLOCHI%20P.D.%20TRASPORTI%20E%20MONTAGGI%20di%20Pierotti%20Daniele&query_place_id=ChIJYSs1cNzr1RIRMcxQJzpOwgY,Da chiamare,,,,,,,
TRASLOCHI MANTOVANI AMARANTO,Livorno,"Via degli Archi, 8",=+39 0586 183 6818,,http://traslochimantovaniamaranto.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Mantovani%20Amaranto&query_place_id=ChIJlau-gNDr1RIR5j4sreeahKk,Da chiamare,,,,,,,
COOPERATIVA LIVORNESE FACCHINAGGIO TRASLOCHI E TRASPORTI,Livorno,"Via Luigi Boccherini, 15",=+39 0586 867560,,https://www.cooplivornesetraslochi.com/,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Livornese%20Facchinaggio%20Traslochi%20e%20Trasporti&query_place_id=ChIJL70o50Tp1RIRJix2Kbmz3cA,Da chiamare,,,,,,,
TRASLOCHI CANU PIETRO,Livorno,"Via Ludovico Antonio Muratori, 29",=+39 370 332 5085,,https://www.traslochicanupietro.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Canu%20Pietro&query_place_id=ChIJSUK3Tj3p1RIRoPwf02cw4PU,Da chiamare,,,,,,,
TRASPORTI - TRASLOCHI FONTANA GABRIELE LIVORNO,Livorno,"Viale Giosuè Carducci, 100",=+39 0586 183 6702,,https://www.fontanagabrieletraslochi.it/,https://www.google.com/maps/search/?api=1&query=Trasporti%20-%20Traslochi%20Fontana%20Gabriele%20Livorno&query_place_id=ChIJG1bDZ6Xr1RIRWBq-3nE57Kw,Da chiamare,,,,,,,
TRASLOCHI E DEPOSITO MOBILI - DEPOSITI BERNI MARCO,Livorno,"Via Firenze, 13c",=+39 370 332 5085,,https://www.depositiberni.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20Deposito%20Mobili%20-%20Depositi%20Berni%20Marco&query_place_id=ChIJtbnA_sLr1RIRZ999G2bHYkY,Da chiamare,,,,,,,
NUOVA TRASPORTI BERNI & C. TRASLOCHI E DEPOSITI,Livorno,"Via di Collinaia, 16/18",=+39 347 277 2287,,https://www.trasportiberni.com/,https://www.google.com/maps/search/?api=1&query=Nuova%20Trasporti%20Berni%20%26%20C.%20Traslochi%20e%20Depositi&query_place_id=ChIJcXzwRTLp1RIRzmZhbfysecU,Da chiamare,,,,,,,
CECCHINI DEPOSITI E TRASLOCHI,Livorno,"Via Gian Battista Guarini, 16",=+39 339 363 7513,,https://cecchinitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Cecchini%20Depositi%20e%20Traslochi&query_place_id=ChIJBehAXB3r1RIRqLEyLUfejqw,Da chiamare,,,,,,,
